ticker,start_date,end_date
SNV,1997-12-01,2008-01-02
BBT,1997-12-04,2019-12-09
CINF,1997-12-18,
OMC,1997-12-24,
LEHMQ,1998-01-12,2008-09-17
BIG,1998-01-20,2013-02-14
SUB,1998-01-28,2001-03-01
NTRS,1998-01-30,
MTL,1998-02-23,1999-09-20
NXTL,1998-04-01,2005-08-15
SEE,1998-04-01,2023-10-18
AFS.A,1998-04-08,2000-12-01
GTW,1998-04-27,2006-08-01
BEN,1998-04-29,
MAR,1998-05-21,
ASND,1998-06-12,1999-06-25
SRE,1998-06-29,
SLM,1998-07-01,2014-05-01
COF,1998-07-01,
BSC,1998-07-01,2008-06-02
FMY,1998-07-10,1999-05-28
DG,1998-07-16,2007-07-09
WM,1998-07-17,
EDS,1998-08-11,2008-08-26
KSS,1998-08-14,2020-09-21
RF,1998-08-28,
PVT,1998-08-31,1999-07-01
NGH,1998-09-16,2000-12-12
HCR,1998-09-28,2007-11-09
UPC,1998-10-01,2004-07-01
PAYX,1998-10-01,
BMC,1998-10-01,2013-09-11
AES,1998-10-02,
PSFT,1998-10-02,2004-12-29
SPLS,1998-10-07,2017-09-13
CCE,1998-10-08,2016-05-31
NCE,1998-11-03,2000-08-21
SWY,1998-11-13,2015-01-27
DHR,1998-11-18,
PCS,1998-11-24,2004-04-23
CCL,1998-12-22,
SLR,1998-12-31,2007-10-02
CPWR,1999-01-04,2012-01-03
MCK,1999-01-13,
SOTR,1999-03-01,2004-11-01
ASO,1999-03-10,2006-11-06
CTL,1999-03-25,2020-09-18
KSU,1999-04-05,2000-07-13
CMS,1999-05-03,
AFL,1999-05-28,
DPHIQ,1999-05-28,2005-10-11
PWJ,1999-06-04,2000-11-06
WLP,1999-06-09,2004-12-01
FPC,1999-06-22,2000-12-01
ODP,1999-06-24,2010-12-20
NTAP,1999-06-25,
BBY,1999-06-30,
VMC,1999-07-01,
QCOM,1999-07-22,
ADCT,1999-08-02,2007-07-02
AW,1999-08-02,2008-12-05
COC.B,1999-08-09,2002-09-03
LXK,1999-08-13,2012-10-01
TOS,1999-09-20,2001-09-17
GX,1999-09-29,2001-10-10
BBBY,1999-10-01,2017-07-26
SXCL,1999-10-01,2001-05-14
PNW,1999-10-04,
ADI,1999-10-12,
TROW,1999-10-13,
LEG,1999-10-18,2021-12-20
EP,1999-10-26,2012-05-25
CMVT,1999-10-27,2007-02-01
PTV,1999-11-05,2010-11-17
XLNX,1999-11-08,2022-02-15
TER,1999-11-15,2013-12-23
QTRN,1999-11-16,2003-09-26
CTXS,1999-12-01,2022-10-03
MOLX,1999-12-01,2013-12-09
OK,1999-12-02,2001-04-02
AABA,1999-12-08,2017-06-19
RIG,1999-12-31,2008-12-19
NCR,2000-01-04,2007-10-01
YNR,2000-01-06,2000-10-03
CNXT,2000-01-31,2002-06-26
HOG,2000-01-31,2020-06-22
BGEN,2000-01-31,2003-11-13
TSG,2000-03-16,2007-04-02
VRTS,2000-04-03,2005-07-05
LLTC,2000-04-03,2017-03-13
ALTR,2000-04-18,2015-12-28
SAPE,2000-05-05,2002-05-13
SEBL,2000-05-05,2006-02-01
MXIM,2000-05-10,2007-09-27
APCC,2000-06-01,2007-02-15
A,2000-06-05,
SBUX,2000-06-08,
CVG,2000-06-13,2009-12-21
MEDI,2000-06-16,2007-06-01
CF,2000-06-19,2004-09-01
NVLS,2000-06-19,2012-06-05
TIF,2000-06-21,2021-01-07
SANM,2000-06-21,2007-07-02
VSTNQ,2000-06-29,2006-01-03
MERQ,2000-06-29,2006-01-04
BRCM,2000-07-03,2016-02-01
Q,2000-07-06,2011-04-01
JNS,2000-07-13,2011-11-23
CIT.A,2000-07-17,2001-06-04
VIAV,2000-07-27,2013-12-23
PALM,2000-07-28,2002-08-14
KSE,2000-08-21,2007-08-27
DVN,2000-08-30,
AV,2000-10-02,2007-10-26
KG,2000-10-03,2010-12-20
DYN,2000-10-03,2009-12-21
NBR,2000-10-18,2015-03-23
PWER,2000-10-23,2005-03-14
EOG,2000-11-02,
NI,2000-11-02,
BVSN,2000-11-06,2001-09-04
HOT,2000-11-17,2016-09-23
FRX,2000-11-22,2014-07-01
CHIR,2000-11-24,2006-04-20
CPNLQ,2000-12-01,2005-12-02
RHI,2000-12-05,2024-06-24
INTU,2000-12-11,
AYE,2000-12-11,2011-02-28
SBL,2000-12-11,2007-01-10
MET,2000-12-11,
ABKFQ,2000-12-11,2008-06-11
KMI,2000-12-12,2007-05-31
VTSS,2000-12-12,2002-08-21
QLGC,2000-12-12,2011-01-18
SYK,2000-12-12,
FLR,2000-12-22,2019-06-03
AMCC,2001-01-02,2006-05-18
NE,2001-01-16,2009-03-27
JBL,2001-01-30,2014-11-05
UVN,2001-02-07,2007-03-29
FTR,2001-02-27,2017-03-20
CTAS,2001-03-01,
FISV,2001-04-02,2023-06-07
CE,2001-04-02,2004-02-27
MIR,2001-04-03,2003-07-17
PBG,2001-05-14,2010-03-01
MWW,2001-06-04,2011-12-19
ZION,2001-06-25,2024-03-18
JHF,2001-06-29,2004-04-29
COL,2001-07-02,2018-11-27
AWE,2001-07-09,2004-10-27
PMCS,2001-08-03,2007-07-02
FDO,2001-08-06,2015-07-07
ZBH,2001-08-07,
CIEN,2001-08-30,2009-12-21
ABC,2001-08-30,2023-08-30
XL,2001-09-04,2018-09-12
IGT,2001-09-04,2014-06-20
IMNX,2001-09-21,2002-07-16
TE,2001-10-10,2016-07-01
EOP,2001-10-10,2007-02-12
HMA,2001-11-07,2007-03-02
NVDA,2001-11-30,
EQR,2001-12-03,
GENZ,2001-12-14,2011-04-04
JNY,2001-12-17,2009-03-04
WAT,2002-01-02,
PCL,2002-01-17,2016-02-22
RATL,2002-02-01,2003-02-21
MI,2002-02-11,2011-07-06
FHN,2002-05-06,2013-06-24
TT,2002-05-13,2008-06-06
APOL,2002-05-15,2013-07-01
BJS,2002-05-15,2010-04-29
SPG,2002-06-26,
NFB,2002-07-17,2006-12-01
GS,2002-07-22,
EBAY,2002-07-22,
PFG,2002-07-22,
EA,2002-07-22,
PRU,2002-07-22,
SDS,2002-07-22,2005-08-12
UPS,2002-07-22,
ANTM,2002-07-25,2022-06-28
MON,2002-08-14,2018-06-07
RAI,2002-09-04,2017-07-25
DGX,2002-12-12,
AN,2003-02-24,2017-08-08
AIV,2003-03-14,2020-12-21
MKC,2003-03-21,
SYMC,2003-03-31,2019-11-05
FII,2003-04-16,2013-01-02
PLD,2003-07-17,
MHS,2003-08-20,2012-04-02
ESRX,2003-09-26,2018-12-21
BIIB,2003-11-13,
MTB,2004-02-27,
CMX,2004-03-25,2007-03-23
ETFC,2004-04-01,2020-10-07
ACS,2004-04-02,2010-02-08
MYL,2004-04-23,2020-11-17
VLO,2004-04-29,
HSP,2004-05-03,2015-09-03
SOV,2004-07-01,2009-01-30
GILD,2004-07-01,
FSH,2004-08-03,2006-11-10
TPR,2004-09-01,
CITGQ,2004-10-27,2009-07-27
LH,2004-11-01,
LLL,2004-12-01,2019-07-01
FSL,2004-12-03,2006-12-04
ASN,2004-12-20,2007-10-08
CBSS,2004-12-20,2007-09-07
FOXA,2004-12-20,
XTO,2004-12-29,2010-06-28
NOV,2005-03-14,2021-09-20
SHLD,2005-03-28,2012-09-05
DHI,2005-07-05,
STZ,2005-07-05,
WFT,2005-07-22,2009-02-26
TSN,2005-08-11,
VNO,2005-08-12,2023-01-04
MUR,2005-08-15,2017-07-26
PSA,2005-08-19,
CVH,2005-08-30,2013-05-07
AMP,2005-10-03,
LEN,2005-10-04,
PDCO,2005-10-11,2018-03-19
AMZN,2005-11-21,
GNW,2005-12-02,2015-11-18
SSP,2005-12-20,2008-07-01
VIAB,2006-01-03,2019-12-05
WFM,2006-01-03,2017-08-28
EL,2006-01-05,
VRSN,2006-02-01,
HAR,2006-02-01,2017-03-13
BRL,2006-02-27,2008-12-23
CHK,2006-03-03,2018-03-19
KIM,2006-04-03,
GOOGL,2006-04-03,
DF,2006-04-03,2013-05-24
BXP,2006-04-03,
SNDK,2006-04-20,2016-05-12
LM,2006-04-24,2016-12-02
EQ,2006-05-18,2009-07-01
JNPR,2006-06-02,2025-07-09
CBH,2006-06-06,2008-03-31
CNX,2006-06-28,2016-03-04
WIN,2006-07-18,2015-04-07
H,2006-08-01,2007-04-10
WYND,2006-08-01,2018-05-31
CME,2006-08-11,
WU,2006-10-02,2021-12-20
SII,2006-10-02,2010-08-27
CELG,2006-11-06,2019-11-21
CBRE,2006-11-10,
FIS,2006-11-10,
CTSH,2006-11-17,
BTUUQ,2006-11-20,2014-09-22
STR,2006-12-01,2010-07-01
IAC,2006-12-01,2008-08-21
DTV,2006-12-04,2015-07-27
TEX,2006-12-20,2008-11-06
SE,2007-01-03,2017-02-27
ESV,2007-01-04,2009-12-23
AVB,2007-01-10,
RL,2007-02-02,
VAR,2007-02-12,2021-04-20
HCBK,2007-02-15,2015-11-02
TEG,2007-02-22,2015-06-30
CHRW,2007-03-02,
HST,2007-03-20,
DDR,2007-03-23,2009-03-30
ANF,2007-03-29,2013-12-23
MDLZ,2007-04-02,
AIZ,2007-04-10,
SUNEQ,2007-05-31,2011-12-19
PCP,2007-06-01,2016-02-01
COV,2007-07-02,2009-06-05
DFS,2007-07-02,2025-05-19
GGP,2007-07-02,2008-11-13
TEL,2007-07-02,2009-06-26
ACAS,2007-07-09,2009-03-04
AKAM,2007-07-12,
JEF,2007-08-27,2019-09-26
MCHP,2007-09-07,
ICE,2007-09-26,
ANDV,2007-09-27,2018-10-01
TDC,2007-10-01,2017-06-19
EXPE,2007-10-02,
NBL,2007-10-08,2020-10-12
EXPD,2007-10-10,
NYX,2007-10-25,2013-11-13
JEC,2007-10-26,2019-12-10
TIE,2007-10-29,2012-12-24
POM,2007-11-09,2016-03-24
